id,phrase,partofspeech,category
1,I think,phrase,judgemental
2,I reckon,phrase,judgemental
3,I suppose,phrase,judgemental
4,must,phrase,judgemental
5,should,phrase,judgemental
6,need,phrase,judgemental
7,have to,phrase,judgemental
8,needs,phrase,judgemental
9,has to,phrase,judgemental
10,anus,phrase,profanity
11,arse,phrase,profanity
12,ass,phrase,profanity
13,ballsack,phrase,profanity
14,balls,phrase,profanity
15,bastard,phrase,profanity
16,bitch,phrase,profanity
17,biatch,phrase,profanity
18,bloody,phrase,profanity
19,blowjob,phrase,profanity
20,blow job,phrase,profanity
21,bollock,phrase,profanity
22,bollok,phrase,profanity
23,boner,phrase,profanity
24,boob,phrase,profanity
25,bugger,phrase,profanity
26,bum,phrase,profanity
27,butt,phrase,profanity
28,buttplug,phrase,profanity
29,clitoris,phrase,profanity
30,cock,phrase,profanity
31,coon,phrase,profanity
32,crap,phrase,profanity
33,cunt,phrase,profanity
34,damn,phrase,profanity
35,dick,phrase,profanity
36,dildo,phrase,profanity
37,dyke,phrase,profanity
38,fag,phrase,profanity
39,feck,phrase,profanity
40,fellate,phrase,profanity
41,fellatio,phrase,profanity
42,felching,phrase,profanity
43,fuck,phrase,profanity
44,f u c k,phrase,profanity
45,fudgepacker,phrase,profanity
46,fudge packer,phrase,profanity
47,flange,phrase,profanity
48,Goddamn,phrase,profanity
49,God damn,phrase,profanity
50,hell,phrase,profanity
51,homo,phrase,profanity
52,jerk,phrase,profanity
53,jizz,phrase,profanity
54,knobend,phrase,profanity
55,knob end,phrase,profanity
56,labia,phrase,profanity
57,lmao,phrase,profanity
58,lmfao,phrase,profanity
59,muff,phrase,profanity
60,nigger,phrase,profanity
61,nigga,phrase,profanity
62,penis,phrase,profanity
63,piss,phrase,profanity
64,poop,phrase,profanity
65,prick,phrase,profanity
66,pube,phrase,profanity
67,pussy,phrase,profanity
68,queer,phrase,profanity
69,scrotum,phrase,profanity
70,sex,phrase,profanity
71,shit,phrase,profanity
72,sh1t,phrase,profanity
73,slut,phrase,profanity
74,smegma,phrase,profanity
75,spunk,phrase,profanity
76,tit,phrase,profanity
77,tosser,phrase,profanity
78,turd,phrase,profanity
79,twat,phrase,profanity
80,vagina,phrase,profanity
81,wank,phrase,profanity
82,whore,phrase,profanity
83,wtf,phrase,profanity
84,fuk,phrase,profanity
85,nudes,phrase,profanity
86,piss off,phrase,profanity
87,fucken,phrase,profanity
88,fucking,phrase,profanity
89,f u k,phrase,profanity
90,4r5e,phrase,profanity
91,50 yard cunt punt   ,phrase,profanity
92,5h1t,phrase,profanity
93,5hit,phrase,profanity
94,a_s_s,phrase,profanity
95,a2m,phrase,profanity
96,a55,phrase,profanity
97,amateur,phrase,profanity
98,anal,phrase,profanity
99,anal impaler   ,phrase,profanity
